,fuel
61.0,1609.7400000000011
61.5,1610.3200000000013
62.0,1612.0400000000016
62.5,1613.8100000000015
63.0,1614.5300000000013
63.5,1618.3800000000017
64.0,1620.1700000000012
64.5,1621.540000000001
65.0,1625.4300000000012
65.5,1629.9100000000014
66.0,1632.9900000000014
66.5,1635.0100000000014
67.0,1639.790000000001
67.5,1644.030000000001
68.0,1649.5700000000006
68.5,1652.8100000000006
69.0,1654.5500000000004
69.5,1658.1800000000003
70.0,1663.4200000000003
70.5,1667.3800000000003
71.0,1670.2400000000005
71.5,1673.9600000000003
72.0,1679.6200000000003
72.5,1681.5300000000004
73.0,1683.5900000000004
73.5,1685.2700000000004
74.0,1686.6800000000003
74.5,1689.9800000000002
75.0,1691.2299999999998
75.5,1692.4699999999998
76.0,1693.6799999999996
76.5,1694.8399999999995
77.0,1697.5699999999995
77.5,1701.0199999999998
78.0,1703.8299999999992
78.5,1706.7699999999993
79.0,1709.2299999999993
79.5,1709.3099999999993
80.0,1709.5999999999992
80.5,1710.6099999999992
81.0,1712.3799999999992
81.5,1713.049999999999
82.0,1714.089999999999
82.5,1714.8099999999993
83.0,1715.559999999999
83.5,1716.8899999999992
84.0,1719.3699999999994
84.5,1719.3699999999994
85.0,1720.5499999999993
85.5,1721.1199999999994
86.0,1721.4699999999996
86.5,1722.6599999999996
87.0,1722.9399999999996
87.5,1723.0299999999995
88.0,1723.8199999999997
88.5,1725.8899999999996
89.0,1728.7399999999998
89.5,1729.9499999999994
90.0,1730.9099999999994
90.5,1732.7899999999993
91.0,1735.3799999999994
91.5,1735.5699999999995
92.0,1736.4799999999996
92.5,1736.6299999999999
93.0,1737.7899999999997
93.5,1738.7
94.0,1740.11
94.5,1740.2399999999998
95.0,1740.3299999999997
95.5,1741.4899999999996
96.0,1743.1599999999996
96.5,1743.4199999999996
97.0,1743.4299999999996
97.5,1743.5799999999997
98.0,1745.2399999999996
98.5,1745.3199999999995
99.0,1745.3199999999995
99.5,1745.3199999999995
100.0,1746.9999999999995
100.5,1747.6399999999996
101.0,1748.4199999999996
101.5,1749.0199999999995
102.0,1750.3499999999995
102.5,1751.0699999999993
103.0,1754.7099999999994
103.5,1755.1899999999996
104.0,1756.1299999999992
104.5,1756.4599999999994
105.0,1759.3499999999995
105.5,1760.4199999999996
106.0,1763.4299999999996
106.5,1766.4099999999994
107.0,1768.6299999999994
107.5,1769.2699999999993
108.0,1769.6299999999994
108.5,1770.2199999999996
109.0,1771.1999999999996
109.5,1772.6099999999994
110.0,1775.4799999999993
110.5,1775.8699999999992
111.0,1776.8399999999995
111.5,1778.1499999999996
112.0,1779.4399999999994
112.5,1780.0299999999995
113.0,1780.4499999999996
113.5,1785.1199999999994
114.0,1786.2399999999993
114.5,1787.9999999999998
115.0,1790.3599999999997
115.5,1792.8799999999997
116.0,1794.2299999999998
116.5,1795.4599999999998
117.0,1796.5900000000001
117.5,1798.42
118.0,1800.61
118.5,1801.6499999999999
119.0,1802.25
119.5,1802.4899999999998
120.0,1802.7999999999997
120.5,1803.31
121.0,1804.4999999999998
121.5,1805.0899999999997
122.0,1805.4499999999996
122.5,1806.9799999999998
123.0,1808.07
123.5,1809.2699999999998
124.0,1810.35
124.5,1812.1499999999999
125.0,1813.1799999999996
125.5,1816.1299999999999
