,fuel
61.5,1508.3600000000013
62.0,1508.9700000000012
62.5,1511.1700000000012
63.0,1512.0700000000013
63.5,1512.7200000000014
64.0,1513.7400000000014
64.5,1516.5500000000013
65.0,1518.340000000001
65.5,1520.3800000000012
66.0,1521.040000000001
66.5,1522.8000000000009
67.0,1523.7600000000011
67.5,1525.330000000001
68.0,1525.8800000000008
68.5,1526.870000000001
69.0,1529.3200000000008
69.5,1530.710000000001
70.0,1533.4700000000007
70.5,1534.5300000000009
71.0,1534.9000000000008
71.5,1534.9400000000007
72.0,1535.9500000000007
72.5,1536.3100000000009
73.0,1537.9200000000005
73.5,1539.7600000000007
74.0,1541.1100000000006
74.5,1543.8300000000004
75.0,1544.9400000000003
75.5,1545.4900000000002
76.0,1546.17
76.5,1549.04
77.0,1549.43
77.5,1550.9199999999996
78.0,1552.2299999999998
78.5,1552.9999999999998
79.0,1554.3299999999997
79.5,1556.06
80.0,1559.5999999999997
80.5,1561.1799999999994
81.0,1563.6299999999994
81.5,1565.2699999999993
82.0,1567.4899999999993
82.5,1570.139999999999
83.0,1571.1399999999992
83.5,1572.119999999999
84.0,1573.179999999999
84.5,1573.4999999999989
85.0,1573.4999999999989
85.5,1573.5499999999988
86.0,1574.4799999999989
86.5,1577.5699999999988
87.0,1578.4699999999987
87.5,1579.8199999999988
88.0,1581.0499999999988
88.5,1581.9799999999987
89.0,1582.7099999999991
89.5,1583.049999999999
90.0,1584.2299999999989
90.5,1585.6099999999988
91.0,1586.109999999999
91.5,1586.399999999999
92.0,1587.349999999999
92.5,1588.099999999999
93.0,1588.669999999999
93.5,1589.499999999999
94.0,1590.389999999999
94.5,1592.3499999999988
95.0,1593.7599999999989
95.5,1594.5099999999986
96.0,1595.159999999999
96.5,1595.5099999999989
97.0,1595.7399999999986
97.5,1597.3999999999987
98.0,1597.8299999999988
98.5,1599.6799999999987
99.0,1600.1399999999987
99.5,1601.2099999999984
100.0,1601.5899999999983
100.5,1602.1899999999985
101.0,1603.2499999999986
101.5,1604.0799999999983
102.0,1604.7599999999984
102.5,1605.1599999999983
103.0,1605.1799999999982
103.5,1605.1799999999982
104.0,1605.2499999999982
104.5,1606.0799999999983
105.0,1606.5199999999984
105.5,1607.2299999999984
106.0,1607.7899999999981
106.5,1608.5599999999984
107.0,1609.8599999999983
107.5,1610.5699999999981
108.0,1611.1399999999983
108.5,1611.7099999999982
109.0,1612.5199999999984
109.5,1613.8999999999983
110.0,1614.2499999999982
110.5,1614.2999999999981
111.0,1614.8499999999983
111.5,1615.5599999999984
112.0,1616.2399999999982
112.5,1616.839999999998
113.0,1617.629999999998
113.5,1622.009999999998
114.0,1622.709999999998
114.5,1624.5299999999982
115.0,1624.869999999998
115.5,1625.8699999999983
116.0,1627.209999999998
116.5,1630.9899999999982
117.0,1631.119999999998
117.5,1631.149999999998
118.0,1631.7399999999977
118.5,1632.729999999998
119.0,1633.5099999999977
119.5,1634.629999999998
120.0,1635.8399999999979
120.5,1636.0999999999979
121.0,1636.3199999999981
121.5,1636.459999999998
122.0,1638.519999999998
122.5,1640.019999999998
123.0,1643.359999999998
123.5,1644.1599999999983
124.0,1645.269999999998
124.5,1645.569999999998
125.0,1645.919999999998
125.5,1646.6199999999978
126.0,1646.989999999998
126.5,1647.3799999999978
